epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5843,1.28244,2.70257,1.43628,0.49625,0.43617,0.43896,0.30314,1.03833,2.59308,1.15077,0.000326241,0.000326241,0.000326241
2,19.0528,0.97253,1.59136,1.19184,0.50641,0.72829,0.59433,0.38914,1.01557,1.50056,1.20075,0.000648691,0.000648691,0.000648691
3,27.3697,0.9171,1.3634,1.15275,0.51012,0.72462,0.62279,0.41696,1.0547,1.48925,1.17572,0.000960142,0.000960142,0.000960142
4,35.5598,0.88482,1.27581,1.10996,0.55355,0.83008,0.72907,0.52486,0.90066,1.12738,1.10597,0.0009505,0.0009505,0.0009505
5,43.6649,0.88911,1.20506,1.1104,0.61312,0.85333,0.78949,0.55981,0.93577,1.09599,1.172,0.000934,0.000934,0.000934
6,51.7589,0.86933,1.14786,1.10434,0.63644,0.82807,0.80061,0.57145,0.87878,1.17395,1.08996,0.0009175,0.0009175,0.0009175
7,60.0054,0.83847,1.07141,1.08215,0.78596,0.86484,0.90846,0.64902,0.86589,0.85411,1.09131,0.000901,0.000901,0.000901
8,68.2325,0.83266,1.03764,1.07889,0.78052,0.84243,0.88511,0.65236,0.87975,0.84575,1.0773,0.0008845,0.0008845,0.0008845
9,76.2888,0.8316,0.98888,1.08209,0.7438,0.81028,0.8412,0.6145,0.85543,0.87871,1.06201,0.000868,0.000868,0.000868
10,84.7396,0.82544,0.95632,1.08467,0.82465,0.86633,0.91075,0.66482,0.84878,0.87938,1.07405,0.0008515,0.0008515,0.0008515
11,93.1879,0.83207,0.92269,1.07721,0.84451,0.92771,0.91009,0.67251,0.85524,0.81133,1.08765,0.000835,0.000835,0.000835
12,102.18,0.80779,0.90298,1.07087,0.81595,0.88385,0.92849,0.6811,0.87421,0.83678,1.0949,0.0008185,0.0008185,0.0008185
13,112.31,0.81375,0.88396,1.05966,0.83473,0.84101,0.88224,0.66551,0.80779,0.8732,1.05521,0.000802,0.000802,0.000802
14,121.272,0.79321,0.87791,1.05875,0.85393,0.9186,0.93877,0.68371,0.87119,0.74968,1.09892,0.0007855,0.0007855,0.0007855
15,129.873,0.80435,0.847,1.06487,0.89458,0.93852,0.95119,0.70818,0.82758,0.70429,1.04276,0.000769,0.000769,0.000769
16,138.624,0.7951,0.83399,1.05668,0.88644,0.96601,0.94281,0.69231,0.87994,0.70764,1.07857,0.0007525,0.0007525,0.0007525
17,147.028,0.77474,0.78936,1.04894,0.90893,0.9538,0.96768,0.72796,0.82321,0.62999,1.02631,0.000736,0.000736,0.000736
18,155.49,0.777,0.7916,1.04797,0.85345,0.92473,0.9489,0.70427,0.84258,0.70077,1.04942,0.0007195,0.0007195,0.0007195
19,163.992,0.78521,0.79157,1.04695,0.94033,0.96315,0.96894,0.72625,0.79514,0.62421,1.00999,0.000703,0.000703,0.000703
20,172.295,0.77933,0.78291,1.05131,0.89722,0.91626,0.95393,0.71506,0.7892,0.68509,1.02163,0.0006865,0.0006865,0.0006865
21,180.584,0.78212,0.78804,1.0467,0.90605,0.93305,0.9665,0.73169,0.82011,0.63718,1.02951,0.00067,0.00067,0.00067
22,188.895,0.77425,0.75279,1.0475,0.92279,0.92769,0.95896,0.72204,0.78966,0.6476,1.01204,0.0006535,0.0006535,0.0006535
23,197.797,0.78251,0.74269,1.03947,0.92484,0.96127,0.96915,0.73356,0.81783,0.64189,1.04792,0.000637,0.000637,0.000637
24,206.484,0.75901,0.75254,1.04572,0.90464,0.96552,0.96894,0.73343,0.80618,0.60317,1.01707,0.0006205,0.0006205,0.0006205
25,214.838,0.75809,0.73249,1.04055,0.94579,0.96319,0.9781,0.74672,0.82025,0.59,1.03494,0.000604,0.000604,0.000604
26,223.185,0.75931,0.7246,1.03961,0.94798,0.97152,0.97912,0.73676,0.8215,0.58068,1.03289,0.0005875,0.0005875,0.0005875
27,231.633,0.76881,0.72909,1.03922,0.92388,0.91512,0.96112,0.73026,0.80472,0.60579,1.0236,0.000571,0.000571,0.000571
28,240.107,0.76541,0.71922,1.03876,0.91764,0.95072,0.96305,0.73036,0.79643,0.6253,1.02855,0.0005545,0.0005545,0.0005545
29,248.461,0.75243,0.71364,1.03569,0.95123,0.9663,0.98159,0.74898,0.80943,0.57538,1.03893,0.000538,0.000538,0.000538
30,256.887,0.75391,0.70097,1.03938,0.96212,0.97755,0.98415,0.75689,0.7637,0.55704,1.0081,0.0005215,0.0005215,0.0005215
31,265.446,0.73346,0.71991,1.03636,0.94963,0.97988,0.97538,0.7482,0.78979,0.5673,1.01331,0.000505,0.000505,0.000505
32,273.865,0.73768,0.71142,1.03119,0.96111,0.97747,0.98312,0.74757,0.82321,0.58006,1.02219,0.0004885,0.0004885,0.0004885
33,282.292,0.75242,0.69849,1.03204,0.9491,0.96809,0.97432,0.74351,0.80022,0.56815,1.01342,0.000472,0.000472,0.000472
34,290.551,0.73501,0.66805,1.03234,0.96164,0.96526,0.98278,0.748,0.81254,0.54662,1.02665,0.0004555,0.0004555,0.0004555
35,298.845,0.73956,0.66786,1.03297,0.94973,0.96058,0.98027,0.75131,0.77554,0.55037,1.00102,0.000439,0.000439,0.000439
36,307.11,0.73027,0.67936,1.03038,0.9369,0.92222,0.96043,0.73825,0.79092,0.63912,0.99967,0.0004225,0.0004225,0.0004225
37,315.268,0.7332,0.66697,1.02559,0.94654,0.95868,0.98033,0.75026,0.77625,0.54918,1.01852,0.000406,0.000406,0.000406
38,323.813,0.72631,0.64918,1.0328,0.95794,0.97082,0.98234,0.76682,0.77965,0.54643,1.01763,0.0003895,0.0003895,0.0003895
39,332.388,0.74976,0.65844,1.03439,0.94452,0.95989,0.9785,0.76159,0.78358,0.54992,1.01136,0.000373,0.000373,0.000373
40,340.773,0.73383,0.65431,1.02706,0.9617,0.97114,0.98299,0.76206,0.78289,0.55579,1.01357,0.0003565,0.0003565,0.0003565
41,349.207,0.73408,0.64179,1.02884,0.9766,0.97856,0.98518,0.76994,0.77673,0.51618,1.00291,0.00034,0.00034,0.00034
42,357.815,0.73565,0.63422,1.02258,0.95129,0.97378,0.98304,0.76232,0.77687,0.53309,1.0068,0.0003235,0.0003235,0.0003235
43,366.266,0.71713,0.65842,1.02715,0.96956,0.96923,0.98586,0.77692,0.7654,0.53499,1.00239,0.000307,0.000307,0.000307
44,374.765,0.7228,0.6304,1.02883,0.95028,0.97336,0.98272,0.76627,0.765,0.52166,0.99001,0.0002905,0.0002905,0.0002905
45,383.073,0.73109,0.63073,1.02131,0.96622,0.97556,0.98372,0.77145,0.77509,0.54229,1.00428,0.000274,0.000274,0.000274
46,391.376,0.70814,0.61987,1.01836,0.97448,0.97963,0.98698,0.7776,0.75531,0.49996,0.99261,0.0002575,0.0002575,0.0002575
